YEAR,country,gdp
1950,CANADA,3.651109
1951,CANADA,3.7342419999999996
1952,CANADA,3.9322219999999994
1953,CANADA,4.019939
1954,CANADA,3.8607310000000004
1955,CANADA,4.118041
1956,CANADA,4.364901999999999
1957,CANADA,4.339562000000001
1958,CANADA,4.312411999999999
1959,CANADA,4.382468
1960,CANADA,4.388408
1961,CANADA,4.433521000000001
1962,CANADA,4.645715999999999
1963,CANADA,4.812285999999999
1964,CANADA,5.024269
1965,CANADA,5.267963999999999
1966,CANADA,5.534567
1967,CANADA,5.622673
1968,CANADA,5.845109
1969,CANADA,6.062678
1970,CANADA,6.135059
1971,CANADA,6.480482
1972,CANADA,6.786958
1973,CANADA,7.215567
1974,CANADA,7.383474
1975,CANADA,7.3371319999999995
1976,CANADA,7.652321
1977,CANADA,7.765013999999999
1978,CANADA,7.960484999999999
1979,CANADA,8.179226
1980,CANADA,8.160562
1981,CANADA,8.382785000000002
1982,CANADA,7.923615
1983,CANADA,8.065477000000001
