YEAR,country,gdp
1950,FRANCE,10.652861
1951,FRANCE,11.186672
1952,FRANCE,11.480235
1953,FRANCE,11.688317999999997
1954,FRANCE,12.092329
1955,FRANCE,12.561117999999999
1956,FRANCE,13.194350999999997
1957,FRANCE,13.843744000000001
1958,FRANCE,14.090829
1959,FRANCE,14.370370999999999
1960,FRANCE,15.202785
1961,FRANCE,15.873470000000001
1962,FRANCE,16.031708000000002
1963,FRANCE,17.221306
1964,FRANCE,18.156282
1965,FRANCE,18.84903
1966,FRANCE,19.66807
1967,FRANCE,20.430552
1968,FRANCE,21.144066000000002
1969,FRANCE,22.442292999999996
1970,FRANCE,23.514891000000006
1971,FRANCE,24.554897000000004
1972,FRANCE,25.777374000000002
1973,FRANCE,26.945887
1974,FRANCE,27.632845000000003
1975,FRANCE,27.558758
1976,FRANCE,28.808256
1977,FRANCE,29.497533999999998
1978,FRANCE,30.475644999999997
1979,FRANCE,31.415031
1980,FRANCE,31.583988
1981,FRANCE,31.479906
1982,FRANCE,31.034103000000002
1983,FRANCE,32.095989
