YEAR,country,gdp
1950,GERMANY,5.725433
1951,GERMANY,6.256754
1952,GERMANY,6.70308
1953,GERMANY,7.256435
1954,GERMANY,7.72644
1955,GERMANY,8.570349
1956,GERMANY,9.076571
1957,GERMANY,9.45931
1958,GERMANY,9.665697000000002
1959,GERMANY,10.259906
1960,GERMANY,10.608814999999998
1961,GERMANY,11.032132
1962,GERMANY,11.384714
1963,GERMANY,11.611702999999999
1964,GERMANY,12.266443
1965,GERMANY,12.813883
1966,GERMANY,13.016212999999999
1967,GERMANY,12.964814
1968,GERMANY,13.730251999999998
1969,GERMANY,14.665157
1970,GERMANY,15.392277
1971,GERMANY,15.720840999999998
1972,GERMANY,16.197464000000004
1973,GERMANY,16.907173
1974,GERMANY,16.97702
1975,GERMANY,16.72403
1976,GERMANY,17.6721
1977,GERMANY,18.195684
1978,GERMANY,18.798211999999996
1979,GERMANY,19.640698999999998
1980,GERMANY,19.935295
1981,GERMANY,19.903634999999998
1982,GERMANY,19.723138999999996
1983,GERMANY,19.985982999999997
