YEAR,country,gdp
1950,GREECE,18.423605
1951,GREECE,19.866239999999998
1952,GREECE,19.750938
1953,GREECE,22.217731
1954,GREECE,22.690231
1955,GREECE,24.180141
1956,GREECE,26.030506
1957,GREECE,27.510994000000004
1958,GREECE,28.514622
1959,GREECE,29.260595
1960,GREECE,30.270325
1961,GREECE,33.36092
1962,GREECE,33.671993
1963,GREECE,36.945164
1964,GREECE,39.855228
1965,GREECE,43.389545
1966,GREECE,45.699326000000006
1967,GREECE,47.640086999999994
1968,GREECE,50.66971600000001
1969,GREECE,55.482616
1970,GREECE,59.759922
1971,GREECE,63.738987
1972,GREECE,68.94611400000002
1973,GREECE,73.66334499999999
1974,GREECE,70.72182500000001
1975,GREECE,74.304443
1976,GREECE,77.985801
1977,GREECE,79.43022900000003
1978,GREECE,83.294701
1979,GREECE,85.300865
1980,GREECE,85.94950100000001
1981,GREECE,84.90324400000002
1982,GREECE,84.27419300000001
1983,GREECE,84.01655600000001
