YEAR,country,gdp
1950,ITALY,0.799001
1951,ITALY,0.829484
1952,ITALY,0.859817
1953,ITALY,0.9169619999999999
1954,ITALY,0.942153
1955,ITALY,0.996193
1956,ITALY,1.034456
1957,ITALY,1.081672
1958,ITALY,1.12602
1959,ITALY,1.189722
1960,ITALY,1.2723609999999999
1961,ITALY,1.3679039999999998
1962,ITALY,1.4436319999999998
1963,ITALY,1.514033
1964,ITALY,1.544253
1965,ITALY,1.582865
1966,ITALY,1.666571
1967,ITALY,1.77485
1968,ITALY,1.8795739999999999
1969,ITALY,1.9918439999999997
1970,ITALY,2.073722
1971,ITALY,2.0939740000000002
1972,ITALY,2.145735
1973,ITALY,2.2807280000000003
1974,ITALY,2.3600579999999995
1975,ITALY,2.261467
1976,ITALY,2.3830810000000002
1977,ITALY,2.4296249999999997
1978,ITALY,2.473979
1979,ITALY,2.5876740000000003
1980,ITALY,2.682996
1981,ITALY,2.6835310000000008
1982,ITALY,2.665435
1983,ITALY,2.825328
