YEAR,country,gdp
1950,UK,1.0335709999999998
1951,UK,1.0600150000000002
1952,UK,1.104598
1953,UK,1.152221
1954,UK,1.191948
1955,UK,1.2277779999999998
1956,UK,1.242018
1957,UK,1.2606229999999998
1958,UK,1.2575669999999999
1959,UK,1.355527
1960,UK,1.355527
1961,UK,1.38902
1962,UK,1.38912
1963,UK,1.4337899999999997
1964,UK,1.495286
1965,UK,1.520258
1966,UK,1.5436199999999998
1967,UK,1.574283
1968,UK,1.632249
1969,UK,1.649105
1970,UK,1.6821070000000002
1971,UK,1.720178
1972,UK,1.756078
1973,UK,1.8913
1974,UK,1.862496
1975,UK,1.844774
1976,UK,1.9126779999999999
1977,UK,1.9388029999999998
1978,UK,1.9999289999999996
1979,UK,2.047829
1980,UK,2.000467
1981,UK,1.9753809999999998
1982,UK,2.0138589999999996
1983,UK,2.07901
