YEAR,country,gdp
1950,USA,4.470303000000001
1951,USA,4.734335
1952,USA,4.826502
1953,USA,4.981746000000001
1954,USA,4.79081
1955,USA,5.032075
1956,USA,5.052480999999999
1957,USA,5.056624
1958,USA,4.949590000000001
1959,USA,5.154054999999999
1960,USA,5.160473999999999
1961,USA,5.160473999999999
1962,USA,5.193368
1963,USA,5.401093000000001
1964,USA,5.540345
1965,USA,5.743346000000001
1966,USA,6.013005
1967,USA,6.400414
1968,USA,6.620659
1969,USA,6.725010999999999
1970,USA,6.637999
1971,USA,6.744059
1972,USA,7.055923
1973,USA,7.368124999999999
1974,USA,7.207006
1975,USA,7.0680499999999995
1976,USA,7.3965879999999995
1977,USA,7.697297
1978,USA,7.954296
1979,USA,8.10547
1980,USA,7.974804
1981,USA,8.164850999999999
1982,USA,7.843721
1983,USA,7.999103000000001
